name,name:en,name:ja-Latn,name:ja,name:ja-Hira,name:es,name:zh,ID,Jurisdiction,AreaName,address,addr:province,addr:city,addr:quarter,addr:neighbourhood,addr:block_number,addr:housenumber,"fire_hydrant:landmark=xxx, description",type,Latitude,Longitude
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-20,本署,本署１管区,大和市深見９１１,神奈川県,大和市,深見,,911,,,1,35.48397926,139.4693329
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-23,本署,本署１管区,大和市深見１０２５－７,神奈川県,大和市,深見,,1025,7,,1,35.48091413,139.4685356
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-36,本署,本署１管区,大和市下鶴間２７５１,神奈川県,大和市,下鶴間,,2751,,宮森工業㈱,1,35.49062368,139.4635609
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-38,本署,本署１管区,大和市深見４９７－３,神奈川県,大和市,深見,,497,3,㈲岩間研磨工業所,1,35.48575336,139.4649578
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-47,本署,本署１管区,大和市深見７１１－３,神奈川県,大和市,鶴間,,711,3,,1,35.48478786,139.467013
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-49,本署,本署１管区,大和市深見５００－９,神奈川県,大和市,深見,,500,9,,1,35.4873074,139.4647971
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-53,本署,本署１管区,大和市深見８９７,神奈川県,大和市,深見,,897,,,1,35.48243432,139.4684661
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-55,本署,本署１管区,大和市深見１８０５,神奈川県,大和市,深見,,1805,,市立大和東小学校,1,35.47706308,139.4690246
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-57,本署,本署１管区,大和市深見５８５－１,神奈川県,大和市,深見,,585,1,ドイト大和店,1,35.48831352,139.4646426
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-58,本署,本署１管区,大和市深見３８７－１,神奈川県,大和市,深見,,387,1,,1,35.48873829,139.4677708
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-64,本署,本署１管区,大和市深見１７１１,神奈川県,大和市,深見,,1711,,県立大和東高等学校,1,35.47984215,139.4681762
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-65,本署,本署１管区,大和市深見１５５,神奈川県,大和市,深見,,155,,,1,35.49038157,139.4694723
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-74,本署,本署１管区,大和市深見５０４,神奈川県,大和市,深見,,504,,,1,35.48852882,139.4662464
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-91,本署,本署１管区,大和市深見１６９６,神奈川県,大和市,深見,,1696,,富士精工㈱相模工場　北東,1,35.47958606,139.4668491
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-93,本署,本署１管区,大和市下鶴間２７４９,神奈川県,大和市,下鶴間,,2749,,日産プリンス神奈川販売㈱大和鶴間営業所,1,35.49309686,139.4628942
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-108,本署,本署１管区,大和市深見５０２,神奈川県,大和市,深見,,502,,,1,35.48694535,139.4662449
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-113,本署,本署１管区,大和市下鶴間２７５０－２,神奈川県,大和市,下鶴間,,2750,2,大和プレス㈱青年寮,1,35.49146265,139.4641058
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-118,本署,本署１管区,大和市深見４８７,神奈川県,大和市,深見,,487,,神奈川日産大和深見店,1,35.48875891,139.4638285
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-121,本署,本署１管区,大和市深見６６７,神奈川県,大和市,深見,,667,,,1,35.48681683,139.4675443
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-101-123,本署,本署１管区,大和市深見９４０,神奈川県,大和市,深見,,940,,,1,35.48345328,139.4694846
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-102-6,本署,本署２管区,大和市深見２１７４,神奈川県,大和市,深見,,2174,,,1,35.4753615,139.4691666
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-102-14,本署,本署２管区,大和市深見２１８８,神奈川県,大和市,深見,,2188,,,1,35.47340025,139.4699475
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-102-15,本署,本署２管区,大和市深見２２３２,神奈川県,大和市,深見,,2232,,,1,35.47251683,139.4702828
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-102-37,本署,本署２管区,大和市深見３２０４－２,神奈川県,大和市,深見,,3204,2,,1,35.46848486,139.4733298
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-102-38,本署,本署２管区,大和市深見３２０７－３,神奈川県,大和市,深見,,3207,3,,1,35.467317,139.4733059
消火栓,Fire Hydrant,Shōkasen,消火栓,しょうかせん,boca de incendio,消防栓,020-102-43,本署,本署２管区,大和市深見３２１４－４,神奈川県,大和市,深見,,3214,4,,1,35.46633715,139.4727096
