name,name:en,name:ja-Latn,name:ja-Hira,name:es,name:zh,type,ID,"fire_horse:landmark=xxx, description",adress,addr.province,addr.city,addr.quarter,addr:neighbourhood,addr:block_number,addr:housenumber,longitude,latitude
スタンドパイプ,Stand Pipe,sutandopaipu,すたんどぱいぷ,soporte de tubo,竖管,コンビニ ,1,ローソン上草柳八丁目店,大和市上草柳8－16－18,神奈川県,大和市,上草柳,八丁目,16,18,139.4507432,35.48317571
スタンドパイプ,Stand Pipe,sutandopaipu,すたんどぱいぷ,soporte de tubo,竖管,コンビニ ,2,ローソン大和中央林間西二丁目店,大和市中央林間西2－17－22,神奈川県,大和市,中央林間西,二丁目,17,22,139.4359326,35.50102121
スタンドパイプ,Stand Pipe,sutandopaipu,すたんどぱいぷ,soporte de tubo,竖管,コンビニ ,3,ローソン桜ヶ丘南店,大和市上和田1790－1,神奈川県,大和市,上和田,,1790,1,139.4673603,35.44900069
スタンドパイプ,Stand Pipe,sutandopaipu,すたんどぱいぷ,soporte de tubo,竖管,コンビニ ,4,ローソンストア100南林間十一条店,大和市南林間7－13－9,神奈川県,大和市,南林間,七丁目,13,9,139.4375321,35.49144864
スタンドパイプ,Stand Pipe,sutandopaipu,すたんどぱいぷ,soporte de tubo,竖管,コンビニ ,5,ローソンストア100大和深見東店,大和市深見東1－1－13,神奈川県,大和市,深見東,一丁目,1,13,139.4651217,35.47741281
スタンドパイプ,Stand Pipe,sutandopaipu,すたんどぱいぷ,soporte de tubo,竖管,コンビニ ,6,ローソン西鶴間三丁目店,大和市西鶴間3-13-23,神奈川県,大和市,西鶴間,三丁目,13,23,139.4492482,35.48833783
スタンドパイプ,Stand Pipe,sutandopaipu,すたんどぱいぷ,soporte de tubo,竖管,コンビニ ,7,ローソンストア100大和中央六丁目店,大和市中央6-6-27,神奈川県,大和市,中央,六丁目,6,27,139.460577,35.46429722
スタンドパイプ,Stand Pipe,sutandopaipu,すたんどぱいぷ,soporte de tubo,竖管,コンビニ ,8,ローソン大和草柳二丁目店,大和市草柳2-21-1,神奈川県,大和市,草柳,二丁目,21,1,139.4571699,35.46311959
スタンドパイプ,Stand Pipe,sutandopaipu,すたんどぱいぷ,soporte de tubo,竖管,コンビニ ,9,ローソンつきみ野店,大和市下鶴間697－1,神奈川県,大和市,下鶴間,,697,1,139.4622775,35.50801304
スタンドパイプ,Stand Pipe,sutandopaipu,すたんどぱいぷ,soporte de tubo,竖管,コンビニ ,10,ミニストップ大和上草柳店,大和市上草柳170-5,神奈川県,大和市,上草柳,,170,5,139.4381731,35.47513315
スタンドパイプ,Stand Pipe,sutandopaipu,すたんどぱいぷ,soporte de tubo,竖管,コンビニ ,11,ミニストップ大和草柳３丁目店,大和市草柳3-22-1,神奈川県,大和市,草柳,三丁目,22,1,139.4576517,35.45991646
スタンドパイプ,Stand Pipe,sutandopaipu,すたんどぱいぷ,soporte de tubo,竖管,コンビニ ,12,ミニストップ大和柳橋店,大和市柳橋2-15-5,神奈川県,大和市,柳橘,二丁目,15,5,139.4644194,35.45755129
スタンドパイプ,Stand Pipe,sutandopaipu,すたんどぱいぷ,soporte de tubo,竖管,コンビニ ,13,ミニストップ大和代官二丁目店,大和市代官2-6-6,神奈川県,大和市,代官,二丁目,6,6,139.4582458,35.44051408
